City	FAA	IATA	ICAO	Airport	Role	Enplanements
Atlanta	ATL	ATL	KATL	Hartsfield–Jackson Atlanta International Airport	P-L	51,865,797
Los Angeles	LAX	LAX	KLAX	Los Angeles International Airport	P-L	42,624,050
Chicago	ORD	ORD	KORD	Chicago O'Hare International Airport	P-L	39,873,927
Dallas	DFW	DFW	KDFW	Dallas Fort Worth International Airport	P-L	32,821,799
Denver	DEN	DEN	KDEN	Denver International Airport	P-L	31,362,941
New York	JFK	JFK	KJFK	John F. Kennedy International Airport (was New York International Airport)	P-L	30,620,769
San Francisco	SFO	SFO	KSFO	San Francisco International Airport	P-L	27,790,717
Seattle / Tacoma (SeaTac)	SEA	SEA	KSEA	Seattle–Tacoma International Airport	P-L	24,024,908
Las Vegas	LAS	LAS	KLAS	Harry Reid International Airport	P-L	23,795,012
Orlando	MCO	MCO	KMCO	Orlando International Airport	P-L	23,202,480
Newark	EWR	EWR	KEWR	Newark Liberty International Airport	P-L	22,797,602
Charlotte	CLT	CLT	KCLT	Charlotte Douglas International Airport	P-L	22,281,949
Phoenix	PHX	PHX	KPHX	Phoenix Sky Harbor International Airport	P-L	21,662,580
Houston	IAH	IAH	KIAH	George Bush Intercontinental/Houston Airport	P-L	21,157,398
Miami	MIA	MIA	KMIA	Miami International Airport	P-L	21,021,640
Boston	BOS	BOS	KBOS	Gen. Edward Lawrence Logan International Airport	P-L	20,006,521
Minneapolis-St. Paul	MSP	MSP	KMSP	Minneapolis–St. Paul International/Wold-Chamberlain Airport	P-L	18,361,942
Fort Lauderdale	FLL	FLL	KFLL	Fort Lauderdale–Hollywood International Airport	P-L	17,612,331
Detroit	DTW	DTW	KDTW	Detroit Metro Wayne County Airport	P-L	17,436,837
Philadelphia	PHL	PHL	KPHL	Philadelphia International Airport	P-L	15,292,670
New York	LGA	LGA	KLGA	LaGuardia Airport (and Marine Air Terminal)	P-L	15,058,501
Baltimore	BWI	BWI	KBWI	Baltimore/Washington International Airport	P-L	13,371,816
Salt Lake City	SLC	SLC	KSLC	Salt Lake City International Airport	P-L	12,226,730
San Diego	SAN	SAN	KSAN	San Diego International Airport (Lindbergh Field)	P-L	12,174,224
Washington, D.C. / Dulles / Chantilly	IAD	IAD	KIAD	Washington Dulles International Airport	P-L	11,621,623
Washington, D.C. / Arlington	DCA	DCA	KDCA	Ronald Reagan Washington National Airport	P-L	11,366,771
Chicago	MDW	MDW	KMDW	Chicago Midway International Airport	P-L	10,678,018
Tampa	TPA	TPA	KTPA	Tampa International Airport	P-L	10,378,514
Honolulu, Oahu	HNL	HNL	PHNL	Daniel K. Inouye International Airport	P-L	10,017,149
Portland	PDX	PDX	KPDX	Portland International Airport	P-L	9,804,868
Nashville	BNA	BNA	KBNA	Nashville International Airport (Berry Field)	P-M	8,017,347
Dallas	DAL	DAL	KDAL	Dallas Love Field	P-M	8,011,221
Austin	AUS	AUS	KAUS	Austin–Bergstrom International Airport	P-M	7,714,479
St. Louis	STL	STL	KSTL	St. Louis Lambert International Airport	P-M	7,631,953
Houston	HOU	HOU	KHOU	William P. Hobby Airport	P-M	7,053,886
San Jose	SJC	SJC	KSJC	Norman Y. Mineta San José International Airport	P-M	7,032,851
Oakland	OAK	OAK	KOAK	Oakland International Airport	P-M	6,686,603
New Orleans	MSY	MSY	KMSY	Louis Armstrong New Orleans International Airport	P-M	6,582,066
Raleigh	RDU	RDU	KRDU	Raleigh–Durham International Airport	P-M	6,258,101
Sacramento	SMF	SMF	KSMF	Sacramento International Airport	P-M	5,907,629
Kansas City	MCI	MCI	KMCI	Kansas City International Airport (was Mid-Continent International)	P-M	5,790,847
Orange County	SNA	SNA	KSNA	John Wayne Airport (was Orange County Airport)	P-M	5,201,642
San Antonio	SAT	SAT	KSAT	San Antonio International Airport	P-M	4,844,427
